AM 08:30,剛起床－自家床上
nil,驚醒，總覺得心裡有些疙瘩，一種喘不過氣的感覺，我看了看鬧鐘，比表定時間還早了一個小時左右
nil,其實早這麼點的時間其實沒有什麼意義，來打個一兩場副本好了
nil,我再度上了登入了遊戲，看見了艾瑪還在線上，不過顯示的狀態是閒置
我,是早起，還是晚睡？
nil,我好奇的問，然後看見了艾瑪的狀態由閒置，轉為上線
艾瑪,噢我剛起來沒多久，不過因為昨天晚上有些東西還沒弄完我就上線來弄一弄
艾瑪,怎麼了你今天又這麼早起來幹麻，該不會又是來聽聽大家的聲音之類的吧
我,也不是，其實這兩天都是做夢驚醒的
艾瑪,好特別噢，我已經很久沒有做夢的耶，你都做一些什麼夢啊
我,一些很奇怪的夢，都是一些過去的事所造成的夢
nil,不知道為什麼，每次只要單獨跟艾瑪聊天，就會不自覺地說比較多私人的話
nil,因為無論我說什麼，她都不會顯得厭惡，似乎早就看穿我的心思般
艾瑪,真的嗎？夢是願望的達成耶，你一定是最近有發生什麼事情讓你想起這些
艾瑪,不過你都是驚醒噢，那或許願望沒有達成吧～
我,願望　是嗎？你都沒有做夢，所以你都沒有什麼煩惱嗎？
艾瑪,煩惱，當然都有啊，不過遇上煩惱的事情不就是一件一件解決就好了嗎？
我,這種話感覺能夠輕鬆地說出來，真不愧是我們的艾瑪姐
艾瑪,怎樣，你有麻煩可以找我啊，要不要最近約個吃飯，順便聽聽你的煩惱
nil,我與幻月已經認識五年多，但與艾瑪大概只認識了兩年左右，上一次與艾瑪見面已經是一年多之前
nil,那時候的我，只覺得他是一個黑黑瘦瘦的女生，
我,好啊，你要來扮演心靈導師嗎？
艾瑪,我也是沒這麼厲害，但是聆聽我還是能夠辦到的
我,那我等等再密妳約時間，先來打個一兩場要不，我等等有課
艾瑪,好啊，一兩場完我大概也要去上課了
AM 09:45,公車站
nil再往公車站的路上，我持續與艾瑪交換著訊息，我也點開了她的社群網站
nil隨意地滑動著她的動態，思考著可能性，也查看著有沒有任何可能的對手
nil腦中閃過的是幻夜的臉，雖然他長得不是特別的帥，但想想自己的長相
AM 10:10,剛上課－教室內
nil,到了教室的課程我一點都沒在聽，艾瑪的訊息如同洪水一般
nil,我以前都不知道他這麼多話，但我也不是這麼的討厭
nil,有種被需要的感覺，一下課我就飛奔回家打開電腦
PM 01:10,自家中
nil,上線開始攻略副本
幻夜,春泥哥，今天這麼早上線啊，是不是要來奮發向上一下
大江春泥,當然要來奮發向上一下啊，我宵夜都買好了，今天一定有點進度
艾瑪,今天怎麼大家這麼有幹勁～那我也只好捨命陪君子們了
nil,出發點很重要，身在江湖，要不是降低目標，要不就是提升自我
nil,誰不喜歡美女，不過美女怎麼會看上你，跟著感覺去走
nil,聊天聊了兩年，才發現距離是如此的近，或許他早就已經不在乎我是個肥宅
nil,只有我還在乎他是黑黑瘦瘦的女孩
nil,或許　不要再想這麼多了，就去吃個飯，好好訴說自己的苦事
nil,之後怎麼樣，就交給之後的我，就如同她所說的，有煩惱，就一件一件去解決
nil,這是在給降低目標的自我一個安慰嗎？或許吧，那又如何
nil,她或許也是將低目標之後才接納我的，誰知道呢？
nil,至少　我跟她還是再相遇了不是嗎？
nil,或許這次的邀約只是一個友情的象徵，那又如何，至少代表著她對於我還沒有厭惡
nil,不要再讓我自己過度思考了，這並不是西洋棋，先預想後一百步並不會造成勝利
nil,只會讓自己因為或然率的緣故而退卻
nil,埃，我什麼時候也開始想這種不切實際的正向思考了，還是好好睡覺比較實在
nil,離去吃飯的期限還有兩個禮拜，總覺得該做點什麼，總不能讓他看我現在這個樣子
nil,看著眼前閃爍的螢幕，看著桌上刺鼻的滷味
nil,看著逐漸明亮的白晝，自己到底是逐漸往正軌而走
nil,還是在逐漸墮落呢，我不知道，我只知道我還想跟艾瑪　再多說幾句話．．．．．．
