AM 08:30,剛起床－自家床上
nil,驚醒，總覺得心裡有些疙瘩，一種喘不過氣的感覺，我看了看鬧鐘，比表定時間還早了一個小時左右
nil,早這麼一點時間其實什麼都不能做，我躺在床上，滑了滑手機，窗戶透進來的陽光有些刺眼
nil,翻了身想要繼續睡覺，但是方才的夢境使我無法忽略
nil,我翻開褙子，踏著沈重的步伐走向廁所，照著鏡子，看著自己充滿鬍渣的面孔，想著自己到底想要什麼
nil,我拿起已經泛起鏽斑的刮鬍刀，放到洗手台讓熱水沖洗，試圖讓變熱的刀片能夠更銳利
nil,搖晃早已見底的刮鬍泡，看著呈液體狀的泡沫，將它抹在下巴
nil,由上而下的刮過，鈍掉的刀片拉扯著鬍根，所造成的刺透讓我確認著這裡不是夢境
我,啊～該換刀片了
nil,無論是課業還是人際關係，都並不是如此的順遂
nil,一想到等等還要坐在教室三個小時，就覺得很麻煩
nil,看著因為熱氣而模糊的鏡子，看著霧氣慢慢消退
nil,出現的，是雙眼無神的我，
nil,我拖著沈重的腳步往公車站走去，越來越不知道去學校的意義是什麼
nil,資工系的兩年，猶如黃粱一夢，現在一點的深刻記憶都沒有
nil,而統計系，除了女生比較多之外，卻也沒有什麼改變,32
AM 09:30,剛起床－自家床上
nil,連續兩天的夢境，都如此的真實，夢的內容，我還有些印象，我該不該趁印象深刻先寫下來-
nil,高中的教室，全班同學，躲開一切的走廊，還有男０，怎麼會突然又想起高中
nil,我翻開褙子，踏著沈重的步伐走向廁所，照著鏡子，看著自己充滿鬍渣的面孔，想著自己到底想要什麼
nil,我拿起已經泛起鏽斑的刮鬍刀，放到洗手台讓熱水沖洗，試圖讓變熱的刀片能夠更銳利
nil,搖晃早已見底的刮鬍泡，看著呈液體狀的泡沫，將它抹在下巴
nil,由上而下的刮過，鈍掉的刀片拉扯著鬍根，所造成的刺透讓我確認著這裡不是夢境
我,啊～該換刀片了
nil無論是課業還是人際關係，都並不是如此的順遂
nil一想到等等還要坐在教室三個小時，就覺得很麻煩
nil看著因為熱氣而模糊的鏡子，看著霧氣慢慢消退
nil出現的，是雙眼無神的我，
nil我拖著沈重的腳步往公車站走去，越來越不知道去學校的意義是什麼
nil資工系的兩年，猶如黃粱一夢，現在一點的深刻記憶都沒有
nil而統計系，除了女生比較多之外，卻也沒有什麼改變
AM 09:45,公車站
nil,搖晃的公車，可能是今天準時出門的緣故，車上的人潮擁擠
nil,沒有多餘的位子能夠讓我坐下，讓我連閱讀輕小說的心情都沒有
nil,我放空凝視著窗望的馬路，看著每天都會看到的招牌
nil,看著低頭的人們行屍走肉般地向前快步
nil,我放鬆眼睛讓視線逐漸失焦，每個人的臉孔逐漸模糊，世界的色調轉為灰階
nil,看著灰色的色塊流動，讓我有些反胃
nil,前方的號誌轉為了紅色，公車緩緩停下
nil,我的手機發出了微微的鈴聲，我手伸入口袋中翻找
nil,我看見只有有求於我時才與我聊天的女Ｂ的訊息
nil,『你有幫我問了嗎？』
nil,我回覆了我等等到學校再跟她說的訊息
nil,我嘆了口氣，自己到底是多麽的可悲，暗自心想自己仍有利用價值
nil,繼續行駛的公車，繼續搖晃的景象，就如同我載浮載沉的人生
AM 10:10,剛上課－教室內
nil,平時進入教室，若我有發出聲響，或許會有人抬頭，但目光聚集於我身上的時間
nil,並不會超過一秒鐘，也就是不會有人想要多看我一眼，噢，除了凱翔♂
nil,不過今天我感受到了一個期待的目光，不過我還在想要如何回應這個目光
nil,我走到女Ｂ身旁的位子坐下，呼吸幾次調整自己的節奏
女Ｂ,欸，所以你有問了嗎？
我,摁，有，我昨天晚上有問了
女Ｂ,那結果怎麼樣？他有女朋友嗎？
我,痾　有，他有女朋友了，而且是最近才交的
女Ｂ,怎麼會～好吧，謝謝你
nil,我該做點什麼嗎？我相信如果我接下來什麼都不說，事情就止於此
nil,不過我們倆的交集就僅於此，我該跟她攀談嗎？
nil,nil,nil,攀談,59,不攀談,67
我,你還好嗎？會很傷心嗎？
nil,她抬起他滑著手機的頭
女Ｂ,蛤？什麼傷心？
我,痾　就是他有女朋友的事情
女Ｂ,蛤？不會啊，就只是覺得有點可惜
nil,她又繼續滑她的手機，散發著不要煩我的氣息
nil,我到底在期待什麼，我只是一把工具啊
nil,一把工具為什麼要詢問使用者的感受,70
nil,我知道我只是一把工具，我知道我自己的使命
nil,我不該去詢問使用者的感受，我只需好好得做好本份
nil,我等待下課後我也不回應凱翔的搭話，自顧自地往回家的路上走去
PM 07:30,家中床上
nil,回到家，癱軟在床上，感受著時間既流動又停止的錯覺
nil,深陷的床鋪，顯示著自己生理上的重量，也代表著心理上的負擔
nil,我知道我不喜歡自己，也沒有喜歡我
nil,又不是我自己想成為工具人的，而是我不做工具人
nil,這個世界上就沒有我的存在，沒有人需要我
nil,當完工具人，即使就只有這麼一秒鐘
nil,那一秒我感受到了人與人之間的交流
Ｘ,即使那是表面上的交流嗎？即使那只是一種利益關係
我,人類何者不是利己主義，如果沒有利益可圖，做這件事情的意義何在
Ｘ,那你為什麼要做工具人，工具人不就是不求回報嗎？
我,誰說工具人不求回報，我們渴求的東西很多，我期待著笑容，期待著友誼，更期待著更深入的交流
Ｘ,你知道你的憤世忌俗，你的妄自菲薄，你的卑劣性從何而來嗎？
Ｘ,你拿著隨處可得的籌碼與人交易，卻渴求著黃金般的回報，卻又認為之間的交易是自己虧損
Ｘ,你期待著與眾不同的待遇，卻做著毫無特色的舉動，你改變你自己的模樣
